subject,body,category,priority,channel
Cancel my trial before it converts,I'm writing to urgently request help. My renewal is coming up in 3 days. Please cancel before then so I'm not charged again. I expect to hear back within 24 hours.,Subscription Cancellation,Medium,Phone
Video calls are buffering constantly,Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long.,Performance Issue,High,Web Form
Feature request: dark mode,I'm very disappointed with the service. Our team would benefit from a shared view where we can see who is working on what in real time. Looking forward to a resolution.,Feature Request,Medium,Chat
Request for API rate limit increase,Thanks in advance for your help. Two-way sync with Google Sheets would save our ops team hours every week. Please consider adding it. Thanks.,Feature Request,Medium,Social Media
Button not responding on dashboard,"I hope you can assist me quickly. The CSV export feature stopped working. When I click Export, the page just refreshes with no file downloaded. I appreciate your help.",Bug Report,High,Phone
Cancelling because features I need are missing,I'd appreciate a quick response. We've completed the project this subscription was for and no longer need the service. Thank you for your time.,Subscription Cancellation,High,Phone
Platform down or extremely slow?,Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long. I expect to hear back within 24 hours.,Performance Issue,High,Chat
Switching to a competitor – please cancel,This is the third time I'm reaching out about this. We've decided to switch to an alternative solution. Please cancel our subscription immediately. I expect to hear back within 24 hours.,Subscription Cancellation,High,Social Media
Please add two-way sync with Google Sheets,Following up again as I haven't heard back. A weekly email digest with a summary of activity would be very useful. Even a simple version would help.,Feature Request,Medium,Email
Add ability to schedule reports,Honestly this is really frustrating. Our integration needs higher API rate limits. Is there a plan option that allows more requests per minute? I appreciate your help.,Feature Request,Low,Social Media
Unable to reset my password,I can't remember which email I registered with. Can you look up my account by my name or phone number? Please respond ASAP.,Login Issue,Urgent,Chat
I found exposed user data in your app,I'm very disappointed with the service. My API key is being used to make calls I didn't authorize. Something has compromised it. Thank you for your time.,Security Concern,Urgent,Web Form
File uploads are painfully slow,I've been a loyal customer and this is unacceptable. My dashboard is taking over 3 minutes to load. This is unworkable for my team. Please respond ASAP.,Performance Issue,Medium,Social Media
Feature request: role-based access control,I'm very disappointed with the service. Could you add a bulk export feature? Exporting records one at a time is very tedious. Thanks.,Feature Request,Low,Social Media
I found exposed user data in your app,Following up again as I haven't heard back. I'm concerned my personal data may have been exposed. I received an email suggesting there was a breach. Thank you for your time.,Security Concern,Urgent,Social Media
Unauthorized API calls using my credentials,I hope you can assist me quickly. There are two unfamiliar devices listed in my active sessions. I don't own those devices. Please remove them. Looking forward to a resolution.,Security Concern,High,Web Form
Unable to complete checkout,I'm not sure who to contact so I'm trying here. My autopay failed this month even though my card is valid and hasn't expired. Now I'm getting overdue notices.,Payment Problem,High,Email
Charged after cancellation – need refund,I'd appreciate a quick response. I want a reimbursement for the subscription that was auto-renewed without my consent. I expect to hear back within 24 hours.,Refund Request,High,Chat
Cancel my trial before it converts,I'd appreciate a quick response. We've completed the project this subscription was for and no longer need the service. I expect to hear back within 24 hours.,Subscription Cancellation,Medium,Web Form
Request for API rate limit increase,"I'm very disappointed with the service. The search filters are quite basic. Adding filters for date range, status, and custom fields would be great.",Feature Request,Low,Email
Cancelling due to high pricing,Honestly this is really frustrating. We are terminating our enterprise agreement. Please connect us with our account manager to finalize. Looking forward to a resolution.,Subscription Cancellation,Medium,Web Form
Mobile app is laggy and unresponsive,The application has been incredibly slow all morning. Every action takes 10+ seconds to complete. Thank you for your time.,Performance Issue,High,Email
Payment failed but I was still charged,I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on? Please respond ASAP.,Payment Problem,Medium,Email
Add Zapier integration please,I'd appreciate a quick response. We'd love a native desktop app for Mac and Windows. The web app is good but a desktop version would be better. Thanks.,Feature Request,Low,Chat
Platform lagging during peak hours,Honestly this is really frustrating. Something is wrong this morning. Nothing loads in under 30 seconds.,Performance Issue,High,Chat
I want my payment reversed,I was overcharged by $49 compared to my plan price. Please refund the difference. Thank you for your time.,Refund Request,Medium,Email
I want to cancel my subscription,I'm not sure who to contact so I'm trying here. My renewal is coming up in 3 days. Please cancel before then so I'm not charged again.,Subscription Cancellation,Medium,Chat
Request for reimbursement on cancelled order,I've been a loyal customer and this is unacceptable. Requesting refund for services not rendered. The feature I paid for was unavailable throughout the month. Thank you for your time.,Refund Request,Medium,Web Form
API response times are unacceptable,Honestly this is really frustrating. Something is wrong this morning. Nothing loads in under 30 seconds. Please respond ASAP.,Performance Issue,Medium,Web Form
Can't get past the verification step,"I'm writing to urgently request help. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens.",Login Issue,Urgent,Chat
Google login not working,Please treat this as a high priority. The verification email for new device login is not coming through. I need access right now.,Login Issue,High,Email
My API key may be compromised,I hope you can assist me quickly. My API key is being used to make calls I didn't authorize. Something has compromised it.,Security Concern,High,Email
Add ability to schedule reports,I've been a loyal customer and this is unacceptable. Our integration needs higher API rate limits. Is there a plan option that allows more requests per minute? Thanks.,Feature Request,Medium,Phone
Suggestion: offline mode for mobile,I'm writing to urgently request help. We'd love the ability to create custom reports with our own fields rather than just the preset ones.,Feature Request,Low,Phone
Payment confirmation email never arrived,I've been a loyal customer and this is unacceptable. Your checkout page is broken on mobile. It spins forever after I hit submit but never confirms the payment. Please respond ASAP.,Payment Problem,High,Web Form
Switching to a competitor – please cancel,I'm very disappointed with the service. I'm submitting this on behalf of our company. Please cancel all seats on our organization account.,Subscription Cancellation,High,Email
Cancel my trial before it converts,I'm very disappointed with the service. I want to cancel and receive a prorated refund for the unused portion of my subscription. Best.,Subscription Cancellation,Medium,Web Form
Cancel my trial before it converts,Please disable auto-renewal on my account. I want the service to end at the current period. Regards.,Subscription Cancellation,High,Web Form
Please don't auto-renew my subscription,I'd appreciate a quick response. We've decided to switch to an alternative solution. Please cancel our subscription immediately.,Subscription Cancellation,Medium,Social Media
I need a refund ASAP,Following up again as I haven't heard back. Requesting refund for services not rendered. The feature I paid for was unavailable throughout the month. Thanks.,Refund Request,Medium,Chat
I want my payment reversed,"Hi there, accidental subscription renewal — I had already switched providers. Can I get my money back? I appreciate your help.",Refund Request,High,Email
Sign-in loop – keeps redirecting to login,Please treat this as a high priority. The magic link login emails aren't arriving. I've checked my spam folder and there's nothing there. Best.,Login Issue,High,Email
Transaction failed – money missing from account,Thanks in advance for your help. Your payment page gave me an error code 7934 during checkout. I can't complete my purchase.,Payment Problem,Medium,Email
Can you add multi-language support?,Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work.,Feature Request,Medium,Social Media
Security vulnerability found in your app,I'd appreciate a quick response. I've been receiving phishing emails that look like they come from your company. You may have a spoofing issue. I expect to hear back within 24 hours.,Security Concern,High,Web Form
I want my payment reversed,This is the third time I'm reaching out about this. Your system billed me two times for the same subscription. I expect the extra charge to be reversed immediately.,Refund Request,High,Email
Payment gateway error during purchase,I switched from monthly to annual billing but got charged both rates this month. Thank you for your time.,Payment Problem,Urgent,Web Form
Duplicate payment on my credit card,I hope you can assist me quickly. I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on?,Payment Problem,Medium,Phone
Payment gateway error during purchase,I hope you can assist me quickly. My card was declined even though I have sufficient funds and the card is active. Please help. Regards.,Payment Problem,Medium,Web Form
Data not loading correctly,"This is the third time I'm reaching out about this. In dark mode, all the text in the Settings section becomes invisible — black text on dark background. I expect to hear back within 24 hours.",Bug Report,Medium,Email
Data not loading correctly,I'm very disappointed with the service. Images fail to upload after the progress bar hits 50%. The upload just stops and shows a vague error. Best.,Bug Report,Medium,Chat
Urgent: security breach on my organization account,I'm writing to urgently request help. I found a reflected XSS vulnerability in your search results page. I can share the details with your team. Please respond ASAP.,Security Concern,High,Email
Unable to complete checkout,My autopay failed this month even though my card is valid and hasn't expired. Now I'm getting overdue notices. Thank you for your time.,Payment Problem,High,Web Form
Promo code not applied to invoice,I've been a loyal customer and this is unacceptable. I received no email confirmation after my payment went through. Can you resend the receipt? Looking forward to a resolution.,Payment Problem,Medium,Social Media
Request: custom branding for client portals,Please treat this as a high priority. Keyboard shortcuts would massively improve our workflow. Even basic ones like save or navigate tabs. I expect to hear back within 24 hours.,Feature Request,Low,Web Form
Unknown devices listed in my account,I'm writing to urgently request help. I've been receiving phishing emails that look like they come from your company. You may have a spoofing issue.,Security Concern,Urgent,Social Media
Please help me cancel – can't find the option,I'm not sure who to contact so I'm trying here. We've completed the project this subscription was for and no longer need the service. Regards.,Subscription Cancellation,High,Email
Cancelling due to high pricing,I hope you can assist me quickly. I'm on a free trial and want to cancel before it converts to a paid plan at the end of the week.,Subscription Cancellation,High,Email
Your servers seem overloaded today,I'd appreciate a quick response. The delay in loading data has tripled compared to last week. Please look into server-side performance. Thank you for your time.,Performance Issue,High,Email
Downgrading and cancelling add-ons,I'm not sure who to contact so I'm trying here. I've decided to stop using your service. Please cancel my account and stop all future billing. I expect to hear back within 24 hours.,Subscription Cancellation,High,Web Form
Application grinding to a halt,Something is wrong this morning. Nothing loads in under 30 seconds. I expect to hear back within 24 hours.,Performance Issue,High,Email
Refund status inquiry,"I hope you can assist me quickly. Hi, I was charged twice this month and I need a refund for the duplicate transaction. Please look into this as soon as possible. Best.",Refund Request,High,Email
Error when saving changes,I hope you can assist me quickly. I've been trying to upload a 5MB attachment for 20 minutes. It gets to 99% and just hangs forever.,Bug Report,Medium,Web Form
Charts not rendering in dashboard,I've been a loyal customer and this is unacceptable. The dropdown in the user settings panel disappears the moment I click it. I can't select anything.,Bug Report,Medium,Chat
Response time has tripled,I'm not sure who to contact so I'm trying here. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. Looking forward to a resolution.,Performance Issue,Medium,Web Form
Unable to sign in after password change,I'd appreciate a quick response. Our company's IT team changed our email domain and now none of us can log in. We need urgent help.,Login Issue,Urgent,Email
App crashes on startup,"Whenever I try to save my project settings, I get an error message and nothing saves. Regards.",Bug Report,Medium,Chat
Charts not rendering in dashboard,Thanks in advance for your help. Images fail to upload after the progress bar hits 50%. The upload just stops and shows a vague error. I appreciate your help.,Bug Report,High,Chat
Cannot load any page – timeout errors,I've been a loyal customer and this is unacceptable. Your platform seems overloaded during peak hours (9am–11am). We can barely use it. Best.,Performance Issue,High,Chat
Login error on mobile app,I'm very disappointed with the service. I've tried every browser and cleared cache and cookies but still cannot sign in to my account.,Login Issue,Urgent,Web Form
Account accessed from another country,Honestly this is really frustrating. Urgent: our entire organization account appears to have been accessed by an unknown party. Please escalate.,Security Concern,High,Social Media
SSO login broken for our organization,"I've been a loyal customer and this is unacceptable. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens. Looking forward to a resolution.",Login Issue,High,Phone
Security audit raised concerns about your platform,I'm writing to urgently request help. I discovered what appears to be a SQL injection vulnerability in your search parameter. Please fix it urgently. Best.,Security Concern,High,Email
Pages lagging and timing out,I'd appreciate a quick response. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. I expect to hear back within 24 hours.,Performance Issue,Medium,Email
Bank shows charge but account not activated,I'm very disappointed with the service. I switched from monthly to annual billing but got charged both rates this month. Looking forward to a resolution.,Payment Problem,Urgent,Chat
Payment receipt not received,Honestly this is really frustrating. My autopay failed this month even though my card is valid and hasn't expired. Now I'm getting overdue notices. Thank you for your time.,Payment Problem,Medium,Chat
Accidental purchase – please refund,"After I downgraded my plan last week, I still got billed for the higher tier. Please correct this and refund me. Best.",Refund Request,Medium,Phone
Switching to a competitor – please cancel,Thanks in advance for your help. We've decided to switch to an alternative solution. Please cancel our subscription immediately. Thanks.,Subscription Cancellation,Medium,Web Form
Request for reimbursement on cancelled order,I've been a loyal customer and this is unacceptable. I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Best.,Refund Request,Medium,Email
Mobile app is laggy and unresponsive,"Thanks in advance for your help. This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this.",Performance Issue,Medium,Email
Dashboard takes minutes to load,I'd appreciate a quick response. Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long. Thank you for your time.,Performance Issue,High,Email
Error during payment processing,I'd appreciate a quick response. I can't add my new Visa card to the billing section. The form keeps rejecting it. Thanks.,Payment Problem,High,Email
Would love a native desktop app,We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French. Best.,Feature Request,Low,Email
Suggestion for improved search filters,Honestly this is really frustrating. Offline mode for the mobile app would be a huge improvement. We often work in areas with poor connectivity.,Feature Request,Low,Phone
Request for API rate limit increase,Honestly this is really frustrating. A drag-and-drop interface for organizing tasks would make the platform much more intuitive to use. I appreciate your help.,Feature Request,Medium,Web Form
Someone changed my account email without permission,Thanks in advance for your help. I didn't log in today but my account shows a session active in a different country. Please investigate. Thank you for your time.,Security Concern,High,Phone
Receiving phishing emails claiming to be from you,This is the third time I'm reaching out about this. I've been receiving phishing emails that look like they come from your company. You may have a spoofing issue.,Security Concern,Urgent,Email
Browser login works but app doesn't,I've been a loyal customer and this is unacceptable. I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in? Thank you for your time.,Login Issue,Urgent,Social Media
Bank shows charge but account not activated,Honestly this is really frustrating. My card was declined even though I have sufficient funds and the card is active. Please help.,Payment Problem,Urgent,Web Form
Where is my refund?,I've been a loyal customer and this is unacceptable. It's been two weeks since I requested a refund and there's been no update. This is unacceptable. Please escalate. Thank you for your time.,Refund Request,High,Email
I think my account was hacked,I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately.,Security Concern,High,Chat
Payment failed but I was still charged,Honestly this is really frustrating. I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on? Best.,Payment Problem,Medium,Chat
Refund for unauthorized transaction,I've been a loyal customer and this is unacceptable. I want a reimbursement for the subscription that was auto-renewed without my consent. I expect to hear back within 24 hours.,Refund Request,High,Email
Request: audit log for team accounts,Two-way sync with Google Sheets would save our ops team hours every week. Please consider adding it. Thank you for your time.,Feature Request,Low,Web Form
Accidental purchase – please refund,I've been a loyal customer and this is unacceptable. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed. Regards.,Refund Request,Medium,Email
Response time has tripled,Generating a basic report that used to take 5 seconds now takes 4 minutes. What changed? Please respond ASAP.,Performance Issue,Medium,Chat
Suggestion: bulk export option,I'm not sure who to contact so I'm trying here. We share the portal with clients and need our own branding on it. White-labeling would be very valuable. Looking forward to a resolution.,Feature Request,Medium,Web Form
Data not loading correctly,I hope you can assist me quickly. I exported a PDF report and entire sections are missing. The data is there in the app but not in the export.,Bug Report,High,Web Form
Please cancel my account,Please treat this as a high priority. I'm on a free trial and want to cancel before it converts to a paid plan at the end of the week.,Subscription Cancellation,Medium,Email
Charged after cancellation – need refund,"Hello, I need help getting a refund for an accidental purchase I made this morning. Order number 583214. Regards.",Refund Request,Medium,Email
Browser login works but app doesn't,Honestly this is really frustrating. I'm not receiving the two-factor authentication SMS code. My phone number is correct on file. Regards.,Login Issue,High,Web Form
Payment failed but I was still charged,This is the third time I'm reaching out about this. I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on? Please respond ASAP.,Payment Problem,Urgent,Email
Feature request: role-based access control,I hope you can assist me quickly. Could you add a bulk export feature? Exporting records one at a time is very tedious. Thank you for your time.,Feature Request,Low,Email
Would love a native desktop app,"The search filters are quite basic. Adding filters for date range, status, and custom fields would be great.",Feature Request,Medium,Chat
Cannot log into my account,Thanks in advance for your help. I have been trying to sign in for the past hour and keep getting an incorrect password error even though I just reset it.,Login Issue,High,Phone
Cannot load any page – timeout errors,Thanks in advance for your help. Every page on the platform is timing out or taking forever to render. Is there an outage?,Performance Issue,Medium,Web Form
Export function is broken,"I'd appreciate a quick response. In dark mode, all the text in the Settings section becomes invisible — black text on dark background. Regards.",Bug Report,Medium,Web Form
Can you add multi-language support?,"Following up again as I haven't heard back. The search filters are quite basic. Adding filters for date range, status, and custom fields would be great. Regards.",Feature Request,Medium,Email
Cancel my annual plan,Following up again as I haven't heard back. We've decided to switch to an alternative solution. Please cancel our subscription immediately. Regards.,Subscription Cancellation,Medium,Chat
My password was leaked in your breach,I'm very disappointed with the service. I was notified by HaveIBeenPwned that my credentials from your service were leaked. Please advise. Thanks.,Security Concern,Urgent,Phone
Still waiting on my refund,This is the third time I'm reaching out about this. My refund of $49 was supposed to post within 5 business days. It's been 9. Please investigate.,Refund Request,Medium,Social Media
Would love a custom reporting feature,Please add Zapier integration. We want to connect your platform to several other tools we use. I expect to hear back within 24 hours.,Feature Request,Medium,Email
Password reset link not working,"Honestly this is really frustrating. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens. Please respond ASAP.",Login Issue,High,Email
Duplicate payment on my credit card,I'm writing to urgently request help. I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on? Looking forward to a resolution.,Payment Problem,High,Web Form
Unexpected charge on my statement,Honestly this is really frustrating. The discount I was promised by your sales team is not reflected on my bill. Please correct it.,Payment Problem,High,Web Form
High latency in your service,Our video conferencing feature buffers every 30 seconds. It's making calls completely unusable.,Performance Issue,High,Web Form
Payment failed but I was still charged,Following up again as I haven't heard back. My autopay failed this month even though my card is valid and hasn't expired. Now I'm getting overdue notices. Please respond ASAP.,Payment Problem,Medium,Chat
Button not responding on dashboard,I'm not sure who to contact so I'm trying here. Your Chrome extension crashes my browser every time I try to use the text capture feature.,Bug Report,High,Email
Refund status inquiry,Honestly this is really frustrating. My account was cancelled but I was still charged for the next billing cycle. Please reimburse me. Thanks.,Refund Request,Medium,Email
Button not responding on dashboard,"I'm not sure who to contact so I'm trying here. Whenever I try to save my project settings, I get an error message and nothing saves. I expect to hear back within 24 hours.",Bug Report,Medium,Email
I no longer need this service,Please treat this as a high priority. I'd like to cancel my subscription effective immediately. Please confirm this has been done. I appreciate your help.,Subscription Cancellation,Medium,Email
Duplicate payment on my credit card,Please treat this as a high priority. My card was declined even though I have sufficient funds and the card is active. Please help.,Payment Problem,Urgent,Web Form
My 2FA was bypassed somehow,Thanks in advance for your help. Your login logs show access from a foreign country at 3am. That was not me. Please freeze my account. Regards.,Security Concern,Urgent,Web Form
Urgent: security breach on my organization account,Emails are going out from my account that I did not send. Someone has access to my email integration.,Security Concern,High,Web Form
Error when saving changes,"I'm writing to urgently request help. The CSV export feature stopped working. When I click Export, the page just refreshes with no file downloaded.",Bug Report,Medium,Chat
Data sync is delayed by hours,I've been a loyal customer and this is unacceptable. Something is wrong this morning. Nothing loads in under 30 seconds.,Performance Issue,High,Email
Requesting refund for order #131167,I'm not sure who to contact so I'm trying here. I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Please respond ASAP.,Refund Request,Medium,Chat
Can you add multi-language support?,Please treat this as a high priority. Our team would benefit from a shared view where we can see who is working on what in real time. Thanks.,Feature Request,Low,Email
App is extremely slow today,I'd appreciate a quick response. Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long.,Performance Issue,Medium,Email
Feature request: role-based access control,Thanks in advance for your help. Please add Zapier integration. We want to connect your platform to several other tools we use. Thanks.,Feature Request,Low,Web Form
Search results showing wrong items,Honestly this is really frustrating. The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time. Looking forward to a resolution.,Bug Report,High,Email
Dashboard takes minutes to load,The application has been incredibly slow all morning. Every action takes 10+ seconds to complete. Looking forward to a resolution.,Performance Issue,High,Phone
Payment declined on valid card,Thanks in advance for your help. Two charges appeared on my credit card for the same transaction date. Only one should have processed. I appreciate your help.,Payment Problem,Urgent,Email
Sync is failing with error code,I'm writing to urgently request help. I've been trying to upload a 5MB attachment for 20 minutes. It gets to 99% and just hangs forever. Thanks.,Bug Report,Medium,Social Media
Would love a drag-and-drop interface,"Following up again as I haven't heard back. Hi, it would be really helpful to have a dark mode option. Long sessions on a bright screen are tiring. I appreciate your help.",Feature Request,Medium,Chat
Data not loading correctly,I'd appreciate a quick response. The iOS app crashes immediately after the splash screen on iPhone 15 running iOS 17.4. Thank you for your time.,Bug Report,High,Email
Team account cancellation request,The features we were promised during sales haven't been delivered. That's why we're cancelling. Regards.,Subscription Cancellation,Medium,Phone
Would love a native desktop app,Honestly this is really frustrating. Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work. Thank you for your time.,Feature Request,Medium,Chat
Sync is failing with error code,I've been a loyal customer and this is unacceptable. The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time. I expect to hear back within 24 hours.,Bug Report,High,Web Form
Request: custom branding for client portals,I'm very disappointed with the service. Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work.,Feature Request,Low,Email
Feature request: role-based access control,Honestly this is really frustrating. A drag-and-drop interface for organizing tasks would make the platform much more intuitive to use.,Feature Request,Medium,Chat
Charged in wrong currency,I've been a loyal customer and this is unacceptable. I was charged in USD but my plan is supposed to be billed in EUR. This is incorrect. Best.,Payment Problem,High,Chat
Switching to a competitor – please cancel,I can't find the cancel button in my account settings. Can you cancel it from your end? Thanks.,Subscription Cancellation,Medium,Web Form
Refund for duplicate charge,"I'm not sure who to contact so I'm trying here. Hi, I was charged twice this month and I need a refund for the duplicate transaction. Please look into this as soon as possible. I appreciate your help.",Refund Request,High,Email
Account accessed from another country,I'm very disappointed with the service. I've been receiving phishing emails that look like they come from your company. You may have a spoofing issue. Thank you for your time.,Security Concern,High,Phone
Cannot add new card to my account,I'm very disappointed with the service. My payment went through on my bank's end but the system says it failed and my account isn't activated. Please fix this. I expect to hear back within 24 hours.,Payment Problem,Medium,Chat
Charged after cancellation – need refund,I noticed a charge on my card that I did not authorize. I want the amount refunded right away.,Refund Request,High,Chat
Please process my refund immediately,I'm writing to urgently request help. I bought an annual plan but realized it's not suitable for my team. I'd like a full reimbursement within the cancellation window.,Refund Request,High,Chat
Refund status inquiry,Following up again as I haven't heard back. My account was cancelled but I was still charged for the next billing cycle. Please reimburse me. Please respond ASAP.,Refund Request,Medium,Chat
Unable to complete checkout,I'm very disappointed with the service. My autopay failed this month even though my card is valid and hasn't expired. Now I'm getting overdue notices. Looking forward to a resolution.,Payment Problem,Urgent,Phone
Unable to complete checkout,I hope you can assist me quickly. I used PayPal at checkout and it shows as paid but my account here is still locked. I expect to hear back within 24 hours.,Payment Problem,High,Phone
Security vulnerability found in your app,Honestly this is really frustrating. I was notified by HaveIBeenPwned that my credentials from your service were leaked. Please advise. Thanks.,Security Concern,Urgent,Web Form
Platform lagging during peak hours,I'm not sure who to contact so I'm trying here. Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long.,Performance Issue,High,Email
App freezes when opening large files,This is the third time I'm reaching out about this. My dashboard data is completely blank even though I can see records in the backend. Something is broken.,Bug Report,High,Phone
I think my account was hacked,I'm not sure who to contact so I'm trying here. Emails are going out from my account that I did not send. Someone has access to my email integration.,Security Concern,Urgent,Phone
Your servers seem overloaded today,Please treat this as a high priority. Uploading a 2MB file is taking over 10 minutes. Our internet connection is fine — the issue is on your end. Please respond ASAP.,Performance Issue,Medium,Email
Notifications not appearing,I've been a loyal customer and this is unacceptable. The iOS app crashes immediately after the splash screen on iPhone 15 running iOS 17.4. Best.,Bug Report,Medium,Chat
Strange emails being sent from my account,Honestly this is really frustrating. Our security team flagged several issues with your platform during an audit. Please contact our CISO. Please respond ASAP.,Security Concern,Urgent,Phone
Cancel my annual plan,Thanks in advance for your help. We are terminating our enterprise agreement. Please connect us with our account manager to finalize. Thanks.,Subscription Cancellation,High,Email
Account disabled without explanation,Thanks in advance for your help. Our entire team uses SSO through Okta and it stopped working this morning. We can't access anything.,Login Issue,Urgent,Web Form
Data sync is delayed by hours,"This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this. Looking forward to a resolution.",Performance Issue,High,Chat
Downgrading and cancelling add-ons,I hope you can assist me quickly. I'd like to cancel my subscription effective immediately. Please confirm this has been done. I expect to hear back within 24 hours.,Subscription Cancellation,Medium,Chat
Promo code not applied to invoice,I've been a loyal customer and this is unacceptable. The invoice I received shows $199 but my plan should only be $19 per month. Please correct this. Thanks.,Payment Problem,Medium,Email
I never wanted to renew – please cancel,I'd appreciate a quick response. Please disable auto-renewal on my account. I want the service to end at the current period. Please respond ASAP.,Subscription Cancellation,Medium,Chat
Would love a native desktop app,Honestly this is really frustrating. We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French.,Feature Request,Medium,Chat
Refund owed from last month,I hope you can assist me quickly. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed. Thanks.,Refund Request,High,Chat
Cannot update my payment information,I'm not sure who to contact so I'm trying here. Your payment page gave me an error code 6625 during checkout. I can't complete my purchase.,Payment Problem,High,Email
Switching to a competitor – please cancel,This is the third time I'm reaching out about this. I'm submitting this on behalf of our company. Please cancel all seats on our organization account. Thank you for your time.,Subscription Cancellation,Medium,Chat
Refund not received after 2 weeks,This is the third time I'm reaching out about this. Your system billed me two times for the same subscription. I expect the extra charge to be reversed immediately. Thanks.,Refund Request,High,Email
Suggestion: bulk export option,I've been a loyal customer and this is unacceptable. Two-way sync with Google Sheets would save our ops team hours every week. Please consider adding it.,Feature Request,Medium,Phone
Login error on mobile app,"I'm very disappointed with the service. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens. Please respond ASAP.",Login Issue,Urgent,Chat
Unable to complete checkout,Thanks in advance for your help. I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on? Please respond ASAP.,Payment Problem,Urgent,Web Form
Reimbursement request – billing error,I'd appreciate a quick response. Your system billed me two times for the same subscription. I expect the extra charge to be reversed immediately.,Refund Request,High,Chat
Two-factor authentication code not arriving,"I hope you can assist me quickly. After changing my password, the system still won't let me access my account. It keeps saying invalid credentials.",Login Issue,Urgent,Email
Strange emails being sent from my account,I didn't log in today but my account shows a session active in a different country. Please investigate. I appreciate your help.,Security Concern,Urgent,Email
Wrong item charged – requesting refund,Following up again as I haven't heard back. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed. I appreciate your help.,Refund Request,High,Email
Cannot access account – urgent,I'm very disappointed with the service. Login keeps telling me my account doesn't exist but I've been a customer for two years.,Login Issue,High,Web Form
Still waiting on my refund,This is the third time I'm reaching out about this. This is the second time I've been double charged. I'm very frustrated. Please issue the refund today. Please respond ASAP.,Refund Request,Medium,Web Form
Cannot load any page – timeout errors,I've been a loyal customer and this is unacceptable. Is there a known outage? The platform has been nearly inaccessible for the past two hours.,Performance Issue,High,Web Form
Unauthorized access to my account,I hope you can assist me quickly. I believe my account was hacked. My profile info was changed and I didn't do it. Please help urgently. I appreciate your help.,Security Concern,High,Email
Suggestion for improved search filters,Thanks in advance for your help. Our team would benefit from a shared view where we can see who is working on what in real time. Please respond ASAP.,Feature Request,Medium,Email
My password was leaked in your breach,Thanks in advance for your help. I'm concerned my personal data may have been exposed. I received an email suggesting there was a breach.,Security Concern,High,Web Form
Cannot load any page – timeout errors,Following up again as I haven't heard back. Every page on the platform is timing out or taking forever to render. Is there an outage? I expect to hear back within 24 hours.,Performance Issue,High,Social Media
Downgrading and cancelling add-ons,This is the third time I'm reaching out about this. I'd like to cancel my subscription effective immediately. Please confirm this has been done. Looking forward to a resolution.,Subscription Cancellation,Medium,Chat
I never wanted to renew – please cancel,Thanks in advance for your help. I'm on a free trial and want to cancel before it converts to a paid plan at the end of the week. Thank you for your time.,Subscription Cancellation,Medium,Email
Data sync is delayed by hours,I'm writing to urgently request help. Your platform seems overloaded during peak hours (9am–11am). We can barely use it. I expect to hear back within 24 hours.,Performance Issue,High,Web Form
Export function is broken,I'm not getting any push notifications even though they're turned on in settings. Other users are getting them fine. Looking forward to a resolution.,Bug Report,High,Phone
Two-factor authentication code not arriving,Thanks in advance for your help. The verification email for new device login is not coming through. I need access right now. Best.,Login Issue,Urgent,Phone
SSO login broken for our organization,I hope you can assist me quickly. Your mobile app won't let me sign in. It shows an authentication error and then kicks me back to the home screen. Please respond ASAP.,Login Issue,High,Web Form
Export function is broken,"I hope you can assist me quickly. In dark mode, all the text in the Settings section becomes invisible — black text on dark background. I expect to hear back within 24 hours.",Bug Report,Medium,Email
